pc1,pc2,y
0.28302664,8.178411,0.0
0.2688629,8.165683,0.0
0.30641,8.222713,0.0
0.265552,8.144356,0.0
0.18920192,8.037052,0.0
0.2208613,8.077105,0.0
0.42111003,8.396138,0.0
0.40970626,8.388456,0.0
0.14139692,7.9453425,0.0
0.20261455,8.04413,0.0
0.21057002,8.064224,0.0
0.13328461,7.928975,0.0
0.100592665,7.885209,0.0
-0.044573635,7.597072,0.0
0.025344498,7.6661634,0.0
0.0016333376,7.642153,0.0
-0.31454867,7.0862207,0.0
-0.3969942,6.9382405,0.0
-0.227525,7.2292166,0.0
-0.51297736,6.729995,0.0
-0.5191815,6.7003226,0.0
-0.39997965,6.9118323,0.0
-0.5634525,6.595848,0.0
-0.48803607,6.726069,0.0
-0.57216483,6.579007,0.0
-0.6039646,6.50847,0.0
-0.77065116,6.196062,0.0
-0.8265622,6.076449,0.0
-0.69370306,6.2996545,0.0
-0.7706433,6.151887,0.0
-0.8054336,6.095109,0.0
-0.81175494,6.0448027,0.0
-0.9842358,5.704898,0.0
-0.9038357,5.851065,0.0
-0.9257061,5.754075,0.0
-0.8351241,5.9240956,0.0
-1.0237479,5.552939,0.0
-1.0450859,5.4599075,0.0
-1.054852,5.46253,0.0
-1.2817332,4.9679003,0.0
-1.1833432,5.174969,0.0
-1.1279359,5.254394,0.0
-1.4324142,4.584767,0.0
-1.3766037,4.671306,0.0
-1.2327771,4.9815984,0.0
-1.390159,4.618928,0.0
-1.3424599,4.6945324,0.0
-1.3566356,4.6457763,0.0
-1.3002853,4.723325,0.0
-1.1938536,4.958133,0.0
-1.366184,4.51108,0.0
-1.3858806,4.391797,0.0
-1.2945312,4.62598,0.0
-1.3154073,4.5473137,0.0
-1.4311821,4.1975164,0.0
-1.4480156,4.1303434,0.0
-1.3744191,4.2616634,0.0
-1.4013022,4.1658072,0.0
-1.5179143,3.7817335,0.0
-1.5122205,3.7376528,0.0
-1.4896344,3.7065291,0.0
-1.3706313,4.079547,0.0
-1.4972181,3.5853734,0.0
-1.5017267,3.504638,0.0
-1.409867,3.7752414,0.0
-1.4636261,3.517399,0.0
-1.4725907,3.4918172,0.0
-1.4764955,3.4076717,0.0
-1.4584211,3.3413372,0.0
-1.4256762,3.4762423,0.0
-1.4136689,3.4390512,0.0
-1.3909584,3.4335127,0.0
-1.385858,3.4152496,0.0
-1.4229639,3.1542099,0.0
-1.3614271,3.1445324,0.0
-1.359771,3.2405035,0.0
-1.3044714,3.2133172,0.0
-1.3183554,3.1692502,0.0
-1.3501648,2.940629,0.0
-1.3270737,2.9416392,0.0
-1.3063087,2.9604654,0.0
-1.3138884,2.778554,0.0
-1.2949733,2.879245,0.0
-1.2372262,3.1255188,0.0
-1.2637095,2.7879908,0.0
-1.2439313,2.6522844,0.0
-1.2060858,2.9323587,0.0
-1.1632563,3.1106935,0.0
-1.1443895,2.8907402,0.0
-1.1539898,2.912078,0.0
-1.1038649,2.8430207,0.0
-1.0942142,2.6568344,0.0
-1.0902244,2.7840405,0.0
-1.0408075,2.5910578,0.0
-1.0293212,2.4892237,0.0
