c1,c2,y
-17.194996,5.7065372,0.0
-17.189283,5.707282,0.0
-17.212416,5.7038255,0.0
-17.181213,5.7085724,0.0
-17.131245,5.7161856,0.0
-17.151049,5.713104,0.0
-17.278635,5.6934767,0.0
-17.275068,5.6938257,0.0
-17.086103,5.722939,0.0
-17.135225,5.7154527,0.0
-17.14343,5.714292,0.0
-17.076681,5.7243266,0.0
-17.052628,5.727884,0.0
-16.888136,5.751145,0.0
-16.932829,5.7451057,0.0
-16.915098,5.7476435,0.0
-16.547,5.7921767,0.0
-16.434673,5.804205,0.0
-16.645844,5.7812386,0.0
-16.264431,5.8198957,0.0
-16.239183,5.822035,0.0
-16.410204,5.8064594,0.0
-16.144377,5.830179,0.0
-16.258303,5.82041,0.0
-16.12335,5.8316727,0.0
-16.060608,5.8367496,0.0
-15.762337,5.8581696,0.0
-15.641756,5.8639,0.0
-15.863982,5.850821,0.0
-15.718085,5.8598814,0.0
-15.654808,5.863108,0.0
-15.606124,5.8654757,0.0
-15.240113,5.8810425,0.0
-15.390546,5.8749976,0.0
-15.29602,5.8788834,0.0
-15.474192,5.8716664,0.0
-15.063738,5.8854775,0.0
-14.966135,5.8879,0.0
-14.965047,5.8879333,0.0
-14.399792,5.8951783,0.0
-14.640247,5.8927093,0.0
-14.728028,5.891591,0.0
-13.883251,5.896828,0.0
-14.016729,5.88792,0.0
-14.411085,5.894622,0.0
-13.929764,5.8901024,0.0
-14.048113,5.8853183,0.0
-13.976457,5.886668,0.0
-14.081983,5.890798,0.0
-14.3825655,5.893681,0.0
-13.7745075,5.89554,0.0
-13.606884,5.872763,0.0
-13.93949,5.8819594,0.0
-13.825663,5.8865156,0.0
-13.362503,5.8556657,0.0
-13.280971,5.8476844,0.0
-13.439436,5.856745,0.0
-13.322302,5.846683,0.0
-12.862981,5.887037,0.0
-12.807707,5.8844213,0.0
-12.782839,5.7506413,0.0
-13.216169,5.8358674,0.0
-12.599434,5.956237,0.0
-12.488644,5.9385223,0.0
-12.8491535,5.776586,0.0
-12.50594,5.862527,0.0
-12.464672,5.917669,0.0
-12.331652,6.0056586,0.0
-12.232011,5.9952097,0.0
-12.469902,5.571618,0.0
-12.415235,5.558426,0.0
-12.4002495,5.5534496,0.0
-12.373037,5.5474267,0.0
-11.963364,5.9694486,0.0
-11.926413,5.9369903,0.0
-12.061252,5.9353538,0.0
-12.060244,5.5086665,0.0
-12.006126,5.5091233,0.0
-11.646277,5.91067,0.0
-11.637254,5.8941073,0.0
-11.652107,5.8842306,0.0
-11.409087,5.865064,0.0
-11.536549,5.86144,0.0
-11.910566,5.495086,0.0
-11.393948,5.8307905,0.0
-11.200191,5.7997913,0.0
-11.633704,5.439955,0.0
-11.857551,5.4581666,0.0
-11.539213,5.423577,0.0
-11.573558,5.4252815,0.0
-11.446053,5.414075,0.0
-11.124033,5.6480026,0.0
-11.347954,5.4162555,0.0
-11.057532,5.412028,0.0
-10.877277,5.579247,0.0
-10.937664,5.572516,0.0
-10.969405,5.3963475,0.0
-10.940144,5.4018545,0.0
-10.442664,5.425221,0.0
-10.574493,5.459416,0.0
-10.623391,5.4639225,0.0
-10.622895,5.451396,0.0
-10.206105,5.3083496,0.0
-10.3163595,5.3334017,0.0
-10.2793665,5.3157587,0.0
-10.178894,5.291326,0.0
-10.388367,5.322068,0.0
-9.764318,5.1841507,0.0
-9.649031,5.14053,0.0
-9.543675,5.109388,0.0
-9.766151,5.1784306,0.0
-9.497245,5.093097,0.0
-9.466015,5.0823555,0.0
-9.270745,5.0204678,0.0
-9.295288,5.0240974,0.0
-9.010603,4.9289317,0.0
-9.141195,4.972718,0.0
-9.466478,5.0698905,0.0
-8.929447,4.8980956,0.0
-9.2518015,5.000055,0.0
-9.104194,4.9571037,0.0
-8.79923,4.8532906,0.0
-9.018116,4.9215407,0.0
-8.741552,4.832525,0.0
-8.61028,4.7883735,0.0
-8.197587,4.636445,0.0
-8.35742,4.695602,0.0
-8.307574,4.676435,0.0
-8.285486,4.6676784,0.0
-8.417013,4.714742,0.0
-7.4013424,4.3329096,0.0
-7.679499,4.439844,0.0
-8.227843,4.645762,0.0
-7.9600663,4.545956,0.0
-7.613693,4.413112,0.0
-7.289017,4.288644,0.0
-7.295104,4.291179,0.0
-7.3182197,4.2998424,0.0
-6.486307,3.975099,0.0
-7.1644316,4.240149,0.0
-7.756225,4.4676332,0.0
-7.5279365,4.3799033,0.0
-6.4082003,3.945548,0.0
-6.2657003,3.8898234,0.0
-6.579745,4.012675,0.0
-6.345023,3.919622,0.0
-6.01005,3.7904723,0.0
-5.820901,3.7192616,0.0
-6.479142,3.9727712,0.0
-6.391582,3.9374192,0.0
-5.461703,3.58716,0.0
-5.4255733,3.5739496,0.0
-6.4516225,3.960557,0.0
-5.727869,3.6827602,0.0
-5.6737623,3.6622732,0.0
-4.68162,3.3229697,0.0
-5.191566,3.4906087,0.0
-6.194475,3.8581321,0.0
-6.130748,3.833746,0.0
